term,coef,std_err,p_value
const,0.4100368768246714,0.4310134378330942,0.34143586637109546
brent_l0,-0.019002803007808662,0.014618994389221795,0.19364527620321037
brent_l1,0.05610253773439973,0.020952304263138866,0.007414486983026681
brent_l2,0.024535231602864426,0.014477357646088373,0.09012639915190132
brent_l3,-0.020193107585467374,0.014947769998745097,0.17672392977959872
brent_l4,0.02011120510142295,0.007292867254762693,0.005821777018204235
brent_l5,0.012683533572776547,0.0072504971673934835,0.08023348411818906
brent_l6,-0.002687615155851658,0.006359336323454117,0.6725688098850044
fx_l0,0.23279557015947105,0.1375484419806653,0.09055783793950346
fx_l1,-0.08875025729801826,0.14265320070957796,0.5338498379217813
fx_l2,-0.16415661766185052,0.11686756146156962,0.16012895116165415
fx_l3,0.10361954621486699,0.08712550402778292,0.23431628843198715
cpi_l0,0.055482578073395065,0.025695740466729438,0.03083364230530167
cpi_l1,-0.031783721125479475,0.019798293214223793,0.10841090111633661
cpi_l2,-0.010064303139625932,0.015572513856099948,0.5180939262713087
cpi_l3,0.03760259652404791,0.02346655920620995,0.10906923733056996
x_credit,-0.5041002224208082,0.24966609148143631,0.04347706948173818
x_lend_d,-0.23447983877251038,0.21565504611990427,0.27690812643223617
x_cbr_d,-0.002088432531343304,0.0010666808788053286,0.05024416429711456
y_l1,0.0809230229299074,0.0899778686976493,0.36845781955820034
m_2,-0.20676583800682585,0.46437699786646647,0.6561360164061079
m_3,0.7337410040463479,0.7052441239333442,0.29815079771433517
m_4,1.177775482804266,0.7701354818961377,0.1261877439902778
m_5,-0.6635856250550617,0.6242325520508255,0.28776275653622674
m_6,-0.031461935442303246,0.7049948513493178,0.9644044739856062
m_7,1.1389439468971596,0.6646636039564823,0.08660874059759313
m_8,-0.08867845450209483,0.548801089284859,0.8716320525798569
m_9,-0.07220982075939597,0.45039631072586145,0.8726250100545427
m_10,-0.01663514845173497,0.49049327426400946,0.9729448195319269
m_11,0.23746755450581564,0.7169148736677938,0.7404667147670523
m_12,1.1250683078464747,0.7677194853799422,0.142793287749857
