material,adj_r2_direct_brent_only,adj_r2_mediated_brent_plus_diesel,adj_r2_gain_from_diesel,cum_diesel_beta_mediated,cum_brent_beta_direct,cum_brent_beta_mediated,brent_absorption_by_diesel_pct,SIMI,to_others,from_others,net
CEM,-0.06400097099082647,0.01683567407020181,0.08083664506102828,0.3889503528365816,0.06345493562953974,-0.053376108436272884,184.11655910880015,14.0,152.79093201776203,29.5025480362997,123.28838398146232
AGG,-0.06272490537965125,0.012069990140414766,0.07479489552006602,0.30337178827348654,0.02864398358703632,-0.009424524433057312,132.90228261868808,9.0,50.10566296547143,52.85769620436847,-2.7520332388970417
LABOUR,0.11327087009154269,0.18639420507124493,0.07312333497970225,-0.011530158375063979,-0.0242315438146829,-0.005958842208187704,75.40873889934741,7.0,29.007378395428624,39.972874453538886,-10.96549605811026
IRON,-0.03981340182202553,0.025558688897268977,0.0653720907192945,0.15180433948968697,-0.010273933074258692,-0.04413552325602501,-329.5874125032645,8.0,30.76366259548901,39.83304182446807,-9.06937922897906
STEEL,-0.027802560409727395,0.01487402448325914,0.042676584892986535,0.29122703885569634,0.05156390899826969,0.011923325883614493,76.8766059143914,5.0,34.62042091655972,56.81649648384115,-22.196075567281422
BRICK,-0.03831890474911237,0.0041412054871143855,0.042460110236226756,0.10931912797618665,0.0033484119845102927,-0.020732967541052343,719.1880699556316,11.0,40.91244175841351,27.33559702442416,13.576844733989349
SAND,-0.035824125398310036,-0.0038323080847715296,0.031991817313538506,0.357296871148521,0.0786633925164048,0.05275390292575464,32.937162715486615,2.0,23.921502626505813,58.21942271170131,-34.2979200851955
LIME,-0.0585080481943725,-0.043823091150239524,0.014684957044132974,0.24790409907619243,0.0059379398480603595,-0.06228135232533635,1148.8713917450796,1.0,31.130198926531463,68.4662791861767,-37.33608025964524
TIMBER,0.07589977551774141,0.06820298568501992,-0.0076967898327214845,0.1495085412179105,0.020110542096118907,-0.005439126089229147,127.04614357600452,4.0,19.41590007663475,43.694448055543,-24.27854797890825
CLAY,-0.00013608836105993838,-0.016398358761703813,-0.016262270400643875,0.011613985330520743,-0.036834614964112146,-0.02978418785532013,19.140765053907106,13.0,45.935549963649095,15.056740478819606,30.87880948482949
TILES,-0.016497313163682303,-0.04318592426046575,-0.026688611096783443,0.03025008712631718,-0.00749014409529305,-0.012347022094397472,-64.84358561481582,3.0,20.878080518209856,49.714163053580734,-28.83608253537088
PAINT,-0.025927122733048646,-0.058539270984734104,-0.03261214825168546,0.11861426374770208,0.028088753459510833,-0.020194132870994478,171.89401587401792,6.0,47.1956845077688,64.58647743798807,-17.39079293021927
PIPES,-0.04501945675888841,-0.10549320849448396,-0.06047375173559555,0.04291596174327381,0.026453174577599138,0.0458516864626924,-73.3315082021201,10.0,19.75459151000659,19.30516881783703,0.4494226921695627
ALU,,,,-0.021584167597954885,-0.02650380973297694,-0.008044411195571557,69.6480948338441,,,,
IRONSTEEL,,,,0.08092505353617929,0.13561291232486916,0.08318747232282164,38.65814774072481,,,,
MURRAM,,,,-0.06912035630612576,-0.309579671048907,-0.3050717008833893,1.4561583292093878,,,,
NAILS,,,,0.08663277370977572,0.3105086288986977,0.25754327337530086,17.05761147806188,,,,
