term,coef,p_value,std_err
const,0.21274197636582495,7.681629814482942e-06,0.047552109381171125
brent_l0,0.005064357641436674,0.6557895872350576,0.011361844866424735
brent_l1,0.022099865701684186,0.14868536422471657,0.01530259612462955
brent_l2,0.026524169660109086,0.17312114328180206,0.019470950166627733
brent_l3,-0.002842005768603148,0.8402759619159506,0.014101412467929493
brent_l4,0.0016442691949700257,0.7979910148817364,0.006424232271430661
brent_l5,0.008770531031780743,0.3247259562363686,0.008905967643793231
brent_l6,0.004623255921322926,0.4679853072750668,0.00637021830220298
fx_l0,-0.056419290089434596,0.4764971845161141,0.07924640091231323
fx_l1,0.08107182286657418,0.27270806025707706,0.07391348622782462
fx_l2,-0.08070516586243127,0.39706362004338025,0.09529737494099165
fx_l3,-0.010686959436654797,0.8073286855674339,0.043821708086159615
cpi_l0,0.02327356545730527,0.21252828988843764,0.01866898418590917
cpi_l1,0.007172638464647631,0.6787458348080071,0.01731788678107932
cpi_l2,0.009439376716002328,0.5632031530030599,0.016328550494525657
cpi_l3,-0.004410349903389297,0.8022660754484751,0.017612131105302527
