term,coef,p_value,std_err
const,0.040041076757108926,0.8674586019585087,0.23992861584724037
brent_l0,-0.009877216742650553,0.48412724609380553,0.014116765488737297
brent_l1,0.0006121840933341156,0.9570124945235557,0.011357155966517358
brent_l2,-0.04567429255359619,0.2915731727127133,0.04330643587211766
brent_l3,0.0001159179831310283,0.9871987975253735,0.007224727610768227
brent_l4,-0.04637825645759783,0.3146800719184196,0.04612685149396259
brent_l5,-0.012866704862769567,0.22254650865021164,0.010548341049663896
brent_l6,-0.009400222055366315,0.44856393721237175,0.012404435845044944
fx_l0,0.40827166367180345,0.19891193257355932,0.317805801231859
fx_l1,0.06710854547988551,0.41920210326585083,0.08307504690318421
fx_l2,0.264494609251898,0.20387425708463613,0.20816663131272414
fx_l3,-0.2548673005530559,0.39050035525629245,0.2968024193361851
