term,coef,p_value,std_err
const,0.01395393502885793,0.9090143636497289,0.12210105171363449
brent_l0,0.011951880101375763,0.5441295802275348,0.01970371137880242
brent_l1,-0.007150332043555724,0.32842864315454723,0.00731653551686552
brent_l2,0.017066834787212902,0.14881174697125515,0.01182125514209907
brent_l3,-0.0016005712771243064,0.8608854699187805,0.009133225033747798
brent_l4,0.01317920138024858,0.1526417928448731,0.009214535497229379
brent_l5,0.013009933384206415,0.21474995621307358,0.010486725262493252
brent_l6,-0.007148048668772479,0.30995915815621145,0.00704027795572638
