term,coef,p_value,std_err
const,0.5080721970573063,0.02820654015287352,0.23153107531346942
brent_l0,0.01188722665494308,0.28651161859375185,0.011153280548328882
brent_l1,0.052311621458509774,0.010877684250170258,0.020541719364771848
brent_l2,0.04696595488696764,0.009142780461544741,0.018017616493537714
brent_l3,0.035030642544854065,0.0655722053225689,0.01902457002186752
brent_l4,0.02160076934369347,0.0616212436241674,0.01155732416192114
brent_l5,0.03847517489986651,0.010160839318744357,0.014969096384802068
brent_l6,0.026537850610348405,0.10194171587802311,0.01622601796878025
