term,coef,p_value,std_err
const,0.16902426299301126,0.00010164767331832956,0.043488700631216556
brent_l0,0.003516626309699929,0.7289108048956505,0.010146804207655341
brent_l1,0.007854355561455213,0.49663973199194755,0.011554152590426562
brent_l2,0.009187267972952676,0.6070557358065038,0.017864305477318047
brent_l3,-0.003039492663617086,0.8065402684475426,0.012411577616985147
brent_l4,-0.0052720508452760145,0.4353716205508713,0.006758756089654473
brent_l5,-0.0006829188390697941,0.8957498616211058,0.0052118411651515505
brent_l6,0.0013717029237185184,0.8519701286675798,0.007350825993985403
diesel_l0,0.20824774539101937,0.0012733003137954022,0.06463446292618329
diesel_l1,-0.07808555027359816,0.351106812425822,0.08374283204484469
diesel_l2,-0.042963066977607774,0.562359901970034,0.07415866387889979
diesel_l3,0.04172971123453635,0.5607348255320758,0.07173129928860948
diesel_l4,0.02897901178620846,0.5361809321604493,0.046846241566902085
diesel_l5,-0.015897990546320913,0.670243517669803,0.03733554406445989
diesel_l6,0.0034082902354181585,0.9418591804864088,0.046731594310117995
