model,adj_r2,cum_brent_beta,cum_diesel_beta
brent_only_to_cipi,0.06944873426227471,0.06134512148314543,
brent_plus_diesel_to_cipi,0.13604789097801462,0.012935490419863444,0.1454181508496555
