term,coef,std_err,p_value
const,0.1507130979422612,0.14416449540978876,0.2958268104917243
b_l0,0.0011507184325152539,0.005876555414077059,0.8447548712743109
b_l1,0.013590224449232734,0.007139046588422811,0.05695617643267145
b_l2,0.01863089621551175,0.0097910465866437,0.05706007789915677
b_l3,0.00474512211107256,0.010954145685618987,0.6648836570709926
b_l4,0.004952227179699422,0.010446107588392869,0.6354471951263024
b_l5,0.010182353347752526,0.010465305041793549,0.3305717505704664
b_l6,0.008337463764596497,0.008432141382922295,0.32277479565127687
fx_l0,-0.013445291598324444,0.050803715103634475,0.7912777580513967
cpi_l0,0.30867057580806184,0.16471726681280535,0.06093844365994529
fx_l1,0.09634413789841621,0.053189665718863,0.07008949162775288
cpi_l1,0.2580965256202441,0.2612907182498163,0.3232626918693181
fx_l2,-0.06978949054648417,0.07663547599949053,0.36247022724002476
cpi_l2,-0.1761762113013244,0.1765860478291314,0.3184349853868509
fx_l3,-0.013628493775633209,0.04175615570958248,0.7441346993061021
cpi_l3,0.08387215196656889,0.19912256895849487,0.6736027156476421
y_l1,-0.018677985173467915,0.15373762092179413,0.903300865896226
y_l2,-0.33068904713792785,0.13606523763232667,0.01508336228368906
y_l3,-0.0679416027235516,0.08225142006408742,0.4087907829956776
