horizon_months,naive_rmse,blend_rmse,ridge_rmse,elastic_net_rmse,blend_skill_vs_naive_pct
1,0.22726270419850478,0.22239160845670952,0.29680111794048225,0.32262489154413604,2.143376652572325
3,0.3630293315472285,0.3630293315472285,0.7646553991485185,0.7126727259367805,0.0
6,0.442349776209622,0.442349776209622,1.2523141686440467,1.2155650965507139,0.0
